id,playtime_forever
0,0.4361484
1,0.787711
2,0.4254874
3,0.4254874
4,1.0071383
5,0.4254874
6,0.463103
7,0.4254874
8,0.49906564
9,0.94661844
10,0.9590583
11,0.5219392
12,0.44595394
13,0.5219392
14,0.8045689
15,0.4254874
16,0.44484115
17,0.4254874
18,0.46470284
19,0.4990897
20,0.4254874
21,0.53176796
22,0.4271941
23,0.4254874
24,0.4254874
25,0.4254874
26,0.4254874
27,0.48135003
28,0.5096081
29,0.5096081
30,0.43963394
31,0.49055126
32,0.5325613
33,0.4254874
34,0.46791077
35,0.48135003
36,0.4435976
37,0.4959776
38,0.46470284
39,0.5953989
40,0.50349116
41,0.5219392
42,0.50065374
43,0.4254874
44,0.48658556
45,0.9590583
46,0.46151716
47,0.4254874
48,0.8045689
49,0.8045689
50,0.97043926
51,0.5219392
52,0.94661844
53,0.45231563
54,1.2441905
55,0.4254874
56,0.43003148
57,0.9590583
58,0.4254874
59,0.48135003
60,1.3084149
61,0.47104686
62,0.4254874
63,0.8045689
64,0.4254874
65,0.48135003
66,0.4254874
67,0.4254874
68,0.46716788
69,0.4254874
70,0.4254874
71,0.49055126
72,0.4435976
73,0.5837347
74,0.4435976
75,1.0071383
76,1.0071383
77,0.8144207
78,0.4254874
79,0.49897933
80,0.95382273
81,0.4254874
82,0.4254874
83,0.8077829
84,0.49906564
85,0.44274923
86,0.48658556
87,1.0071383
88,0.4254874
89,1.3211558
