Feature,Mean Ranking
Rogue-like_tags,0.53
Local Co-Op_tags,0.51
Turn-Based Combat_tags,0.49
Zombies_tags,0.46
Touch-Friendly_tags,0.43
Addictive_tags,0.38
Turn-Based Strategy_tags,0.37
total_positive_reviews,0.33
Turn-Based Tactics_tags,0.32
Perma Death_tags,0.32
Replay Value_tags,0.32
total_negative_reviews,0.31
Colorful_tags,0.31
2D_tags,0.3
Souls-like_tags,0.29
Benchmark_tags,0.29
Crafting_tags,0.29
Steam Workshop_categories,0.29
War_tags,0.29
MMO_categories,0.28
Remote Play on Phone_categories,0.28
Free to Play_tags,0.28
Survival Horror_tags,0.28
Remote Play on Tablet_categories,0.28
Warhammer 40K_tags,0.27
Mouse only_tags,0.27
Online Co-Op_tags,0.27
Real-Time with Pause_tags,0.27
MOBA_tags,0.27
Online Co-op_categories,0.27
Sandbox_tags,0.26
Sports_genres,0.26
Games Workshop_tags,0.26
Typing_tags,0.25
Underground_tags,0.25
Gothic_tags,0.25
Intentionally Awkward Controls_tags,0.25
Base Building_tags,0.25
Minigames_tags,0.25
PvP_tags,0.24
Full controller support_categories,0.24
Real Time Tactics_tags,0.24
Wargame_tags,0.24
Naval_tags,0.24
America_tags,0.24
Moddable_tags,0.24
playtime_purchase_m,0.24
Pixel Graphics_tags,0.24
Text-Based_tags,0.24
Indie_genres,0.24
Crime_tags,0.23
Sports_tags,0.23
Difficult_tags,0.23
Documentary_tags,0.22
Sailing_tags,0.22
Hex Grid_tags,0.22
Transhumanism_tags,0.22
Local Co-op_categories,0.22
Clicker_tags,0.22
Team-Based_tags,0.22
Competitive_tags,0.22
Loot_tags,0.22
Shared/Split Screen_categories,0.22
Fighting_tags,0.22
World War I_tags,0.22
Destruction_tags,0.22
Capitalism_tags,0.21
Adventure_genres,0.21
Hack and Slash_tags,0.21
Co-op_tags,0.21
Gun Customization_tags,0.21
Valve Anti-Cheat enabled_categories,0.21
Sequel_tags,0.21
Voxel_tags,0.21
Turn-Based_tags,0.2
JRPG_tags,0.2
Cats_tags,0.2
Party-Based RPG_tags,0.2
Mars_tags,0.2
Simulation_tags,0.2
Open World_tags,0.2
Chess_tags,0.2
Inventory Management_tags,0.19
Strategy RPG_tags,0.19
Dungeon Crawler_tags,0.19
Sniper_tags,0.19
Steam Achievements_categories,0.19
Mythology_tags,0.19
Military_tags,0.19
Captions available_categories,0.19
Audio Production_genres,0.19
eSports_tags,0.19
Submarine_tags,0.19
Third Person_tags,0.19
Audio Production_tags,0.19
Indie_tags,0.19
Investigation_tags,0.19
Fantasy_tags,0.19
Rogue-lite_tags,0.19
Rome_tags,0.19
Star Wars_tags,0.18
Stylized_tags,0.18
Strategy_genres,0.18
Game Development_tags,0.18
Offroad_tags,0.18
Trains_tags,0.18
Action RPG_tags,0.18
Racing_genres,0.18
Walking Simulator_tags,0.18
Score Attack_tags,0.18
Utilities_genres,0.18
Metroidvania_tags,0.18
Fast-Paced_tags,0.18
Bikes_tags,0.18
Driving_tags,0.18
Mod_tags,0.18
Family Friendly_tags,0.18
Minimalist_tags,0.18
Transportation_tags,0.18
Dynamic Narration_tags,0.18
Heist_tags,0.18
Motorbike_tags,0.18
Stats_categories,0.18
Music-Based Procedural Generation_tags,0.18
Assassin_tags,0.18
Third-Person Shooter_tags,0.18
Early Access_genres,0.18
Remote Play on TV_categories,0.17
Horses_tags,0.17
Trading_tags,0.17
Kickstarter_tags,0.17
Western_tags,0.17
Logic_tags,0.17
Character Customization_tags,0.17
Batman_tags,0.17
Silent Protagonist_tags,0.17
Psychological Horror_tags,0.17
Superhero_tags,0.17
Medieval_tags,0.17
ATV_tags,0.17
Alternate History_tags,0.17
Motocross_tags,0.17
Real-Time_tags,0.17
Software_tags,0.17
Programming_tags,0.17
Animation & Modeling_tags,0.17
Hacking_tags,0.17
PvE_tags,0.17
Procedural Generation_tags,0.16
Includes level editor_categories,0.16
